"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"5.201106567235987","6.307891802509999","0.192266777669858","0.21428571428571427","11","16","8","false","3466","7.375","8","8","false","0","3466","445053725"
"5.363002165022853","1.1344762420096304","0.1864627253969678","0.3","11","10","5","false","937","8.8","5","5","false","0","937","99796589"
"5.5181621361558815","0.0","0.18121975674615284","1.0","12","4","2","false","5233","10.5","2","2","false","0","5233","0"
"5.576377195092615","1.4558040859890293","0.17932789784737502","0.3","10","10","5","false","8579","7.0","5","5","false","0","8579","107288380"
"4.641327880683185","28.831155101968722","0.215455582046232","0.05128205128205128","11","26","13","false","10310","11.23076923076923","13","13","false","0","10310","2525035866"
"5.020928554245851","9.99530733084876","0.19916634725948637","0.2","11","20","10","false","15931","9.7","10","10","false","0","15931","745503291"
"5.016357950445032","33.38361854559292","0.19934781566201507","0.1323529411764706","10","34","17","false","17038","9.235294117647058","17","17","false","0","17038","4228587415"
"5.784219388982439","0.0","0.17288417550426283","1.0","12","6","3","false","18720","7.333333333333333","3","3","false","0","18720","0"
"5.715179215780611","0.13151103174294793","0.1749726407946797","0.6666666666666666","11","8","4","false","19607","6.5","4","4","false","0","19607","12216053"
"5.388741881164301","2.0710671352204817","0.185572072675327","0.25","11","16","8","false","1854","6.125","8","8","false","0","1854","172894400"
"5.36853500120279","1.1262880049928765","0.18627055607832593","0.3333333333333333","12","6","3","false","4583","11.333333333333334","3","3","false","0","4583","75268615"
"4.19581428915083","88.51460201331916","0.23833276000458664","0.0659536541889483","10","68","34","false","9572","12.058823529411764","34","34","false","0","9572","8918983611"
"5.174885734904979","9.458933718641372","0.1932409817776125","0.09523809523809523","11","14","7","false","10841","10.142857142857142","7","7","false","0","10841","721565030"
"4.78253548231898","11.767688564596577","0.20909410995422767","0.17777777777777778","11","20","10","false","13056","10.2","10","10","false","0","13056","1037624331"
"5.3678133269184505","0.0","0.18629559917540559","1.0","12","4","2","false","14982","11.5","2","2","false","0","14982","0"
"4.496271349530912","36.342300950503414","0.22240650580493285","0.08823529411764706","10","34","17","false","16310","12.235294117647058","17","17","false","0","16310","3110157367"
"4.549194130382487","26.114066521146857","0.2198191528739887","0.24333333333333335","10","50","25","false","19640","20.12","25","25","false","0","19640","3563268199"
"5.289872504209766","9.220633985702953","0.1890404729422465","0.14285714285714285","11","16","8","false","23855","7.875","8","8","false","0","23855","919522856"
"5.6410873225884055","0.0","0.17727078891257994","0.0","12","2","1","false","24372","13.0","1","1","false","0","24372","0"
"5.077700264613904","12.761305187390537","0.1969395489861664","0.26666666666666666","11","42","21","false","24814","8.285714285714286","21","21","false","0","24814","954932987"
"4.334616309838826","82.41577567074276","0.23070092679948942","0.06157635467980296","9","58","29","false","5052","10.827586206896552","29","29","false","0","5052","7292012744"
"5.037527062785663","0.2218293986258288","0.19851009980421183","0.6666666666666666","10","6","3","false","899","19.666666666666668","3","3","false","0","899","27370593"
"5.237430839547751","0.0","0.19093330883703838","1.0","10","4","2","false","1796","20.0","2","2","false","0","1796","0"
"4.816935289872505","12.044642696105932","0.20760087894526566","0.17582417582417584","10","28","14","false","2287","9.714285714285714","14","14","false","0","2287","1011225404"
"4.755833533798413","6.689602814113754","0.21026808295397065","0.2727272727272727","10","24","12","false","3096","11.583333333333334","12","12","false","0","3096","686345928"
"4.921337503006976","10.984085680675495","0.20319679343044286","0.41818181818181815","10","22","11","false","3386","10.636363636363637","11","11","false","0","3386","847751304"
"4.993264373346163","3.769433519308581","0.20026978850508265","0.16666666666666666","10","8","4","false","4472","14.75","4","4","false","0","4472","298553552"
"4.683184989174886","39.39103394682837","0.21352989521265667","0.07894736842105263","10","40","20","false","5346","7.7","20","20","false","0","5346","3024885526"
"5.334375751744046","0.0","0.18746335963923336","0.0","10","2","1","false","5740","29.0","1","1","false","0","5740","0"
"4.980514794322829","1.8874562479437125","0.200782457496136","0.5","10","8","4","false","6094","16.5","4","4","false","0","6094","154293191"
"5.257156603319702","0.0","0.19021689393246086","1.0","10","4","2","false","6376","16.5","2","2","false","0","6376","0"
"4.84700505171999","24.896276283628026","0.20631296838552782","0.09057971014492754","9","48","24","false","9124","6.666666666666667","24","24","false","0","9124","2143173835"
"4.681982198700986","6.942443739412883","0.2135847505523301","0.1794871794871795","10","26","13","false","10235","13.307692307692308","13","13","false","0","10235","845453457"
"4.980033678133269","7.160261899640432","0.20080185489324703","0.2857142857142857","10","16","8","false","10427","14.375","8","8","false","0","10427","650191342"
"5.233100793841713","3.5082159664443955","0.19109129355520824","0.2","10","12","6","false","10597","11.166666666666666","6","6","false","0","10597","282406415"
"5.1106567235987495","0.65877543585115","0.19566956931042598","0.5","10","8","4","false","15159","14.25","4","4","false","0","15159","84315402"
"4.377676208804426","50.70387180095023","0.22843169579074624","0.11764705882352941","10","36","18","false","16148","14.833333333333334","18","18","false","0","16148","4528905515"
"5.221072889102718","7.494501550471184","0.19153151492812387","0.23809523809523808","10","14","7","false","16741","10.857142857142858","7","7","false","0","16741","601879464"
"5.334375751744046","0.0","0.18746335963923336","0.0","10","2","1","false","18235","29.0","1","1","false","0","18235","0"
"5.334375751744046","0.0","0.18746335963923336","0.0","10","2","1","false","18549","29.0","1","1","false","0","18549","0"
"4.7481356747654555","21.598792520217064","0.2106089776066471","0.075","10","32","16","false","19297","9.5","16","16","false","0","19297","1798023448"
"4.47871060861198","33.793938911388786","0.2232785476420668","0.3165322580645161","10","64","32","false","20511","16.125","32","32","false","0","20511","3824325982"
"4.908828482078422","18.145053447227873","0.20371459374693715","0.19444444444444445","10","18","9","false","20595","13.444444444444445","9","9","false","0","20595","1925242837"
"4.842193889824393","7.546632178352176","0.20651795916339608","0.2","10","20","10","false","20613","11.7","10","10","false","0","20613","770934933"
"4.464036564830407","37.323522911670636","0.22401250202080078","0.14285714285714285","10","44","22","false","24371","12.818181818181818","22","22","false","0","24371","3807944273"
"4.5528025018041856","28.67458391948855","0.21964493289654444","0.05928853754940711","10","46","23","false","24559","8.478260869565217","23","23","false","0","24559","2482696537"
"5.334375751744046","0.0","0.18746335963923336","0.0","10","2","1","false","24731","29.0","1","1","false","0","24731","0"
"4.882848207842194","4.8343179482543635","0.20479850231549906","0.47619047619047616","9","14","7","false","25102","17.428571428571427","7","7","false","0","25102","487487885"
"4.550878037045947","15.765318092765211","0.2197378158367692","0.175","10","32","16","false","25271","19.1875","16","16","false","0","25271","2114016306"
"4.518643252345441","11.976840798980904","0.22130536626916525","0.5731225296442688","10","46","23","false","25396","22.08695652173913","23","23","false","0","25396","1539445159"
"5.3764734183305265","2.920492548586212","0.18599552572706937","0.4","10","12","6","false","1658","11.333333333333334","6","6","false","0","1658","205071019"
"5.671397642530671","0.0","0.1763233797081778","1.0","11","4","2","false","4822","12.0","2","2","false","0","4822","0"
"5.647101274957902","0.0","0.17708200212992548","1.0","11","4","2","false","6864","13.0","2","2","false","0","6864","0"
